M,M/N,analytical_N_S,analytical_N_C,approx_N_S,approx_N_C
1,0.3333333333333333,0.3333333333333333,0.0,0.2388437701912631,0.04462491923494771
2,0.6666666666666666,0.4444444444444444,0.1111111111111111,0.3422780793550613,0.1443048016123467
3,1.0,0.4444444444444444,0.25925925925925924,0.36787944117144233,0.26424111765711533
4,1.3333333333333333,0.3950617283950617,0.40740740740740744,0.351462850820969,0.38494001106330433
5,1.6666666666666667,0.3292181069958848,0.5390946502057613,0.31479267139593636,0.4963317257665018
6,2.0,0.2633744855967078,0.6488340192043895,0.2706705664732254,0.5939941502901619
7,2.3333333333333335,0.20484682213077277,0.7366255144032922,0.22626792501694512,0.6767601071186498
8,2.6666666666666665,0.15607376924249353,0.804907788446883,0.18528920326080411,0.7452273455163944
9,3.0,0.11705532693187014,0.8569323781943808,0.14936120510359183,0.8008517265285442
10,3.3333333333333335,0.08670764957916306,0.8959508205050043,0.11891331115750799,0.8454126954952396
11,3.6666666666666665,0.06358560969138626,0.9248533703647253,0.0937256217571938,0.8807128450362988
12,4.0,0.04624407977555364,0.9460485735951876,0.07326255555493671,0.9084218055563292
13,4.333333333333333,0.03339850206012207,0.9614632668537052,0.05686949119341086,0.9300067800696482
14,4.666666666666667,0.023978411735472258,0.972596100873746,0.04388329190697763,0.9467131455415272
15,5.0,0.017127436953908757,0.98058890478557,0.03368973499542734,0.959572318005487
16,5.333333333333333,0.012179510722779558,0.9862980504368729,0.02574906663376769,0.9694229833724007
17,5.666666666666667,0.00862715342863552,0.9903578873444662,0.019603138239966966,0.9769374844235683
18,6.0,0.006089755361389779,0.9932336051540113,0.014872513059998151,0.9826487347633354
19,6.333333333333333,0.004285383402459475,0.9952635236078079,0.011248655789651068,0.9869752406646145
20,6.666666666666667,0.0030072865982171747,0.9966919847419611,0.008484225342265386,0.9902431408563949
21,7.0,0.002105100618752022,0.9976944136080336,0.006383173758881614,0.9927049442755639
22,7.333333333333333,0.001470229003572841,0.9983961138142843,0.004791541185694124,0.9945550668344385
23,7.666666666666667,0.0010247050630962226,0.9988861901488084,0.003589347889337956,0.9959424762990091
24,8.0,0.0007128383047625897,0.9992277585031739,0.002683701023220095,0.9969808363488774
25,8.333333333333334,0.0004950266005295761,0.9994653712714281,0.0020030789701626175,0.9977565515534179
26,8.666666666666666,0.00034321844303383944,0.9996303801382713,0.0014926795516603546,0.9983350881923788
27,9.0,0.0002376127682541965,0.9997447862859491,0.001110688236780116,0.9987659019591332
28,9.333333333333334,0.00016427549410166675,0.999823990542034,0.0008253185608255749,0.9990862544505146
29,9.666666666666666,0.00011342831735591275,0.9998787490400679,0.00061248682538741,0.999324152468538
30,10.0,7.822642576269845e-05,0.9999165584791864,0.0004539992976248485,0.9995006007726127
