N,P_S,T_a,P_C,P_S_error,T_a_error,P_C_error,M,I_max
5,0.0,0,1.0,100.0,100.0,4.328423573731897e-06,100,10
6,2e-07,7.0,0.9999996666666667,65.38458109343406,27.272554465133414,6.874071130119958e-05,100,10
7,1.8e-06,5.833333333333333,0.9999972857142857,71.19531274108016,6.059285275053504,0.0006837798175917611,100,10
8,1.66e-05,6.006024096385542,0.9999776250000001,55.4646014196783,9.19341744933663,0.0027945991456290974,100,10
9,8.75e-05,5.412471395881007,0.9998961111111111,41.49313713499971,1.6137438156200241,0.007725395962624224,100,10
10,0.0003035,5.578250670241287,0.9996692,33.272658917240356,1.3605153656300528,0.01696138257624527,100,10
11,0.0008031000000000001,5.520676610462602,0.9991976363636365,29.023644333913882,0.23835948879851848,0.033987206915596084,100,10
12,0.0018388,5.469810215790206,0.9983020833333335,24.109278646182002,0.8129883931214372,0.056505298908730836,100,10
13,0.0036688999999999997,5.523131678394579,0.9968414615384618,20.707989902395173,0.042842824081306796,0.08679144988535076,100,10
14,0.0066663,5.524819103317282,0.9946205714285715,17.522940378343947,0.28903838699652995,0.12130685008749188,100,10
15,0.0111101,5.55212888266371,0.9915567333333334,15.558943318208286,0.16332933605797698,0.1668639399407058,100,10
16,0.017515700000000002,5.597239718645462,0.9873696875000001,13.457591829147347,0.18271443966448364,0.20926996776396445,100,10
17,0.0262562,5.616586872213782,0.9820437058823529,11.699394705950752,0.03477554118172033,0.2602296941978145,100,10
18,0.03779,5.6404823429663224,0.9753617222222221,10.167229483588189,0.2718189790183007,0.31067235215193423,100,10
19,0.052497800000000004,5.686668447835621,0.9672587368421053,8.982460567287056,0.21599600470825503,0.3672383549818195,100,10
20,0.0710022,5.73979406601025,0.9575127499999999,7.834491463077358,0.1393135634439561,0.4211724146519707,100,10
21,0.09373209999999998,5.791459163549511,0.9460355714285714,6.863937098737244,0.18362775088194566,0.4789517986224749,100,10
22,0.12130450000000001,5.863600258843705,0.9326130454545454,5.974731871373903,0.03453717436833285,0.5358071938202905,100,10
23,0.1539598,5.920590652620701,0.9171846086956523,5.37902933692801,0.08606473696864547,0.6060080370860211,100,10
24,0.1926145,5.988514369635676,0.8993074166666667,4.794082766998158,0.08719273164668884,0.664991120749451,100,10
25,0.23828739999999998,6.063367402749202,0.8788007200000002,4.065535466494374,0.021970626150948185,0.7189027884634009,100,10
26,0.2908821,6.14055770051353,0.8554272307692308,3.5022148080977105,0.05623296579218474,0.769792156606174,100,10
27,0.35113279999999997,6.210952483255918,0.8288820370370371,2.957848650921044,0.033264650149261867,0.811761922290572,100,10
28,0.41875520000000005,6.282540596961428,0.7990347142857143,2.5316668027354106,0.08620530986998819,0.855928538561553,100,10
29,0.49424270000000003,6.345085801629699,0.7653221724137932,2.0038251692533273,0.11474294509440518,0.8463759794876888,100,10
30,0.5749141,6.393777369745933,0.7283469333333333,1.6648772943619967,0.1289976586803891,0.852905778178341,100,10
31,0.6581448999999999,6.420660595237201,0.6882799354838709,1.471879016586871,0.11387516592680713,0.8545295063223607,100,10
32,0.7391364000000001,6.41580666541417,0.6461706875000001,1.4928994925926917,0.045427263690098245,0.8999144216637565,100,10
33,0.8141221000000001,6.370051842922627,0.6026247575757575,1.4952889368612738,0.07957702929600578,0.9029658350475298,100,10
34,0.8771239999999999,6.282334579129708,0.5600036176470587,1.540893564918779,0.15633132774648276,1.0072583951958267,100,10
35,0.9243849,6.147338136098124,0.5195441142857143,1.5902472751320857,0.20933088304773204,1.178478743436278,100,10
36,0.9577022000000001,5.970593773984516,0.4813521388888889,1.3619046754257964,0.20466506828776457,1.2090193919407515,100,10
37,0.9782161,5.766489627006029,0.44656689189189186,1.018045766454984,0.09749694492005356,1.2005958382437831,100,10
38,0.9896531,5.550119977635385,0.4151907894736842,0.6477692759283825,0.07833095005948347,1.1555264067229893,100,10
39,0.9953925,5.3327596077147525,0.3869803333333333,0.3562798405106505,0.22727233479969666,1.0929710860896757,100,10
40,0.9981075,5.1210805177170355,0.361279075,0.16668517838552804,0.2634055668069961,0.9398483195305568,100,10
41,0.9992154999999999,4.930272012162679,0.33875870731707314,0.07458085231517207,0.39462530444286764,0.9874819836793953,100,10
42,0.9996886,4.746473786855299,0.31782397619047614,0.030615327778314733,0.33486871192487877,0.8693004659342337,100,10
43,0.9998840000000001,4.580019157353542,0.29902758139534885,0.01154380902087057,0.3185937738131251,0.8277239961876987,100,10
44,0.9999573000000002,4.424435455901536,0.28164347727272726,0.0042652433255621295,0.24128164214377565,0.6984064864620146,100,10
45,0.9999828,4.283388003296425,0.2660587555555556,0.0017196808817100066,0.21798452142737682,0.6847590404428858,100,10
