N,P_S,T_a,P_C,P_S_error,T_a_error,P_C_error,M,I_max
5,0.0,0,1.0,100.0,100.0,4.328423573731897e-06,100,10
6,1e-07,7.0,0.9999998333333334,82.69229054671703,27.272554465133414,8.540739498254232e-05,100,10
7,2.1333333333333334e-06,5.515625,0.9999968095238095,65.86111139683574,0.2828420591800594,0.0006361603151132015,100,10
8,1.8e-05,5.222634508348794,0.9999758750000001,51.70860394904876,5.049113872414058,0.002619590339256293,100,10
9,8.413333333333332e-05,5.57626443647949,0.9998987407407405,43.74425833475782,1.3636361786289422,0.007988406564371569,100,10
10,0.0003007666666666667,5.506694419441944,0.9996734,33.87360806263149,0.06029081721620719,0.01738159281960157,100,10
11,0.0007984333333333335,5.525910151100294,0.9992004848484848,29.436074906829333,0.3333843498537655,0.03427238102580888,100,10
12,0.0018226333333333333,5.497243537087866,0.9983120833333335,24.77650727094819,0.31552521787064514,0.05750756572726211,100,10
13,0.0036705333333333337,5.522939027133724,0.9968337435897436,20.6726904166748,0.04632940985958413,0.08601653757123068,100,10
14,0.006655166666666667,5.531266868946446,0.9946297857142857,17.66068464384671,0.1726702491233452,0.12223438602822928,100,10
15,0.011152533333333334,5.550807478891205,0.9915181333333332,15.236433574353821,0.18709041150087824,0.16296457561981006,100,10
16,0.0175323,5.580655932453872,0.9873771041666666,13.375573755325803,0.11411199619927243,0.21002269367975007,100,10
17,0.026343233333333334,5.615467210583079,0.9820018823529412,11.406698275618407,0.054703520357987624,0.25595978580134976,100,10
18,0.037804500000000005,5.647069340398275,0.9753661296296294,10.13276070421564,0.15535566394424988,0.31112563014131017,100,10
19,0.052455933333333336,5.6955747039194495,0.9672910877192983,9.05504648487312,0.059717877927349755,0.3705952315635945,100,10
20,0.07100873333333334,5.740801357142306,0.9575238500000001,7.826010768266379,0.1217887563286261,0.42233655060088415,100,10
21,0.09370930000000001,5.796067931837144,0.9460329047619047,6.886592114832547,0.10419517300871445,0.4786685705076352,100,10
22,0.12120600000000001,5.855999969512574,0.9326148636363637,6.051080967332171,0.09512572761483777,0.5360031940559953,100,10
23,0.15387266666666669,5.9257115524213315,0.9171701304347827,5.43257994284662,0.0003538792115092383,0.6044199162043528,100,10
24,0.19276933333333335,5.991965754255791,0.8992621805555556,4.717551407634013,0.029609580789285203,0.659927565574724,100,10
25,0.2382526,6.0634181299372125,0.8787863066666667,4.079545940257416,0.02113419253971252,0.7172508836733408,100,10
26,0.29103936666666663,6.138267958583587,0.8553736538461537,3.4500428627705646,0.01892317030653912,0.7634807659832558,100,10
27,0.35145286666666664,6.211558201350719,0.8287367654320987,2.869392209630277,0.043020313011604014,0.7940934413768487,100,10
28,0.4193911666666667,6.284068572425597,0.7987650357142857,2.383640913220441,0.1105472561980795,0.8218891129369795,100,10
29,0.4942164333333334,6.34419477410076,0.7653200344827586,2.009033203401089,0.10068403481240985,0.8460942646691471,100,10
30,0.5747176333333334,6.393349361282551,0.7283411999999999,1.698481573286847,0.12229488253578946,0.8521118936982837,100,10
31,0.6578730333333334,6.42034121836445,0.6883668709677419,1.512579038458469,0.10889529572572652,0.8672682727329282,100,10
32,0.7396016666666667,6.415767914649478,0.6460254375,1.4308918979240073,0.044823000342930644,0.8772335528882652,100,10
33,0.8142624,6.371062920781303,0.6026405858585859,1.4783133370560892,0.06371729537445701,0.9056161089723661,100,10
34,0.8768647999999998,6.282558053084681,0.5600981862745098,1.5699893374526344,0.15277970864116822,1.0243156381992955,100,10
35,0.9245756333333334,6.147180130642874,0.5194174,1.569941858882068,0.2118958094849118,1.1538018039597107,100,10
36,0.9575925333333334,5.971091674537883,0.48144704629629625,1.3731997430580896,0.19634292238956808,1.2289746073863566,100,10
37,0.9782321666666668,5.765623205706069,0.44643721621621624,1.0164200417662421,0.11250740399743021,1.1712088508016492,100,10
38,0.9896438666666668,5.550347461608465,0.4152416315789474,0.648696219181191,0.08243288234842068,1.1679133865209823,100,10
39,0.9953629666666667,5.333140260133953,0.3870166068376068,0.359236273477589,0.23442655822069852,1.1024470103236657,100,10
40,0.9980444666666666,5.125852546503417,0.36170369166666666,0.17298993675167126,0.35683504051476744,1.0584844235653028,100,10
41,0.9992205666666668,4.927644789206607,0.3385659837398373,0.07407416602941067,0.3411274317868626,0.9300290876695049,100,10
42,0.9996982000000001,4.746749632142948,0.31783117460317456,0.02965532273988704,0.3406997566043446,0.8715850602623822,100,10
43,0.9998785000000001,4.578384961770279,0.29887004651162785,0.012093809329955971,0.28279911941717917,0.7746055390157089,100,10
44,0.9999523666666665,4.425794665354847,0.28178244696969695,0.004758576682391714,0.27207628226859315,0.7480935133737141,100,10
45,0.9999813333333334,4.284101754497254,0.2661348148148148,0.001866347548834136,0.23468408418978962,0.7135421871403916,100,10
